,,,Country,,,,,,,,,Total
Age,Breed Type,Sex,AUSTRIA,CZECH REPUBLIC,DENMARK,FRANCE,GERMANY,IRELAND,NETHERLANDS,NORTHERN IRELAND,SWEDEN,
01. Under 1,Non Dairy,F,0,0,0,0,0,24,0,2,0,30
,,M,0,0,0,0,0,0,0,1,0,3
02. 1 to 2,Non Dairy,F,0,0,0,0,0,18,0,0,0,19
,,M,0,0,0,0,0,0,0,1,0,5
03. 2 to 3,Dairy,M,0,0,0,0,0,0,0,14,0,14
,Non Dairy,F,0,0,0,0,0,0,0,1,0,2
,,M,0,0,0,0,0,0,0,0,0,1
04. 3 to 4,Dairy,M,0,0,0,0,0,0,0,45,0,45
,Non Dairy,F,0,0,0,0,0,0,0,0,0,6
,,M,0,0,0,0,0,0,0,1,0,3
05. 4 to 5,Dairy,M,0,0,0,0,0,0,2,15,0,17
,Non Dairy,F,0,0,0,0,0,0,0,3,0,3
,,M,0,0,0,0,0,0,0,0,0,2
06. 5 to 6,Dairy,M,0,0,0,0,0,0,0,16,0,16
,Non Dairy,F,0,0,0,0,0,0,0,1,0,3
,,M,0,0,0,0,0,0,0,1,0,2
07. 6 to 12,Dairy,F,0,0,0,0,0,4,7,2,1,14
,,M,0,0,0,0,0,0,5,12,0,17
,Non Dairy,F,0,0,0,0,0,0,0,12,0,16
,,M,0,0,0,0,0,0,0,5,0,14
08. 12 to 24,Dairy,F,11,22,40,2,6,122,138,5,25,371
,,M,0,1,0,0,0,11,1,13,0,27
,Non Dairy,F,0,0,0,0,0,29,0,171,0,210
,,M,0,0,0,2,0,3,0,525,0,555
09. 24 to 30,Dairy,F,9,0,0,11,147,12,155,39,7,380
,,M,0,0,0,0,0,1,0,22,0,23
,Non Dairy,F,0,0,0,0,0,21,1,141,0,167
,,M,0,0,0,0,0,0,0,385,0,393
10. 30 to 36,Dairy,F,0,0,0,15,29,1,21,15,0,83
,Non Dairy,F,0,0,0,0,0,2,0,23,0,31
,,M,0,0,0,0,0,0,0,30,0,33
11. 36 to 48,Dairy,F,0,0,0,24,9,11,4,20,1,70
,,M,0,0,0,0,0,0,0,1,0,1
,Non Dairy,F,0,0,0,0,0,0,0,8,0,22
,,M,0,0,1,0,0,0,1,4,0,6
12. 48 to 60,Dairy,F,0,0,0,14,1,6,0,10,0,32
,Non Dairy,F,0,0,0,0,0,0,0,12,0,22
,,M,0,0,0,0,0,0,0,1,0,3
13. 60 to 72,Dairy,F,0,0,0,18,0,6,0,4,0,28
,Non Dairy,F,0,0,0,0,0,0,0,4,0,16
,,M,0,0,0,0,0,0,0,0,0,1
14. 72 and Over,Dairy,F,0,0,0,15,0,3,0,4,0,25
,Non Dairy,F,0,0,0,0,0,0,0,12,0,66
,,M,0,0,0,0,0,0,0,1,0,2
Total,,,20,23,41,101,192,274,335,"1,582",34,"2,799"
